lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_pcc_step,valid_ssim_step,valid_psnr_step,valid_acc_step,valid_rmse_step,valid_frame_mse_step,valid_frame_mae_step
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
0.0,0.0,0,,,,,,,,,
,,0,0.15009047091007233,0,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,
,,1,0.11210596561431885,0,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,
,,2,0.08155851811170578,0,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
3.3333333333333335e-05,3.3333333333333335e-05,3,,,,,,,,,
,,3,0.07455863058567047,0,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
4.4444444444444447e-05,4.4444444444444447e-05,4,,,,,,,,,
,,4,0.03725279122591019,0,,,,,,,
5.555555555555556e-05,5.555555555555556e-05,5,,,,,,,,,
5.555555555555556e-05,5.555555555555556e-05,5,,,,,,,,,
5.555555555555556e-05,5.555555555555556e-05,5,,,,,,,,,
