lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_pcc_step,valid_ssim_step,valid_psnr_step,valid_acc_step,valid_rmse_step,valid_frame_mse_step,valid_frame_mae_step,valid_frame_mse_epoch,valid_frame_mae_epoch,valid_loss_epoch,valid_csi_16_epoch,valid_csi_74_epoch,valid_csi_133_epoch,valid_csi_160_epoch,valid_csi_181_epoch,valid_csi_219_epoch,valid_csi_avg_epoch,valid_pod_16_epoch,valid_pod_74_epoch,valid_pod_133_epoch,valid_pod_160_epoch,valid_pod_181_epoch,valid_pod_219_epoch,valid_pod_avg_epoch,valid_sucr_16_epoch,valid_sucr_74_epoch,valid_sucr_133_epoch,valid_sucr_160_epoch,valid_sucr_181_epoch,valid_sucr_219_epoch,valid_sucr_avg_epoch,valid_bias_16_epoch,valid_bias_74_epoch,valid_bias_133_epoch,valid_bias_160_epoch,valid_bias_181_epoch,valid_bias_219_epoch,valid_bias_avg_epoch
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0.15009047091007233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1111111111111112e-05,1.1111111111111112e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.11210596561431885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2222222222222223e-05,2.2222222222222223e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
